station_no,station_id,station_name,station_latitude,station_longitude,station_carteasting,station_cartnorthing,station_local_x,station_local_y,station_georefsystem,station_longname,ts_id,ts_name,ts_shortname,ts_path,ts_type_id,ts_type_name,parametertype_id,parametertype_name,stationparameter_name,stationparameter_no,stationparameter_longname,ts_unitname,ts_unitsymbol,ts_unitname_abs,ts_unitsymbol_abs,site_no,site_id,site_name,catchment_no,catchment_id,catchment_name,ts_density,ts_exchange,ts_spacing,from,to,station_diary,KWInfo_Manager,station_status,Portal_Bekken,station_status_remark,station_diary_status,KWInfo_ManagerMail,KWInfo,ngr_letter,KWInfo_TechInfo,dataowner,admin_level,region_district,admin_name,dataprovider
HIS_BWO_VITO_IOW50,397345,Kanaal Gent-Terneuzen Autrichehaven (NL) VITO,51.2643487123471,3.83805143708034,612951.270020961,717289.870818396,112956.920364513,217294.257189716,Belge Lambert 72,,289436042,KalJaarGem,Year.Mean,EXT_QUAL/HIS_BWO_VITO_IOW50/EC20/Year.Mean,14042,aggmean,543,EC,EC20,EC20,Conductivity,microsiemens per centimeter,µS/cm,,,EXT_QUAL,380996,Kwaliteitsmetingen extern,,0,---,1,,P1Y,2020-12-31T23:00:00.000Z,2025-12-31T22:59:59.999Z,,VITO,Closed,Bekken Gentse kanalen,Al lang gestopt,2026-02-24 00:00:00: Closed,iow@vito.be,1,-,"Dit zijn voorlopige, niet-gevalideerde data. De sensor hangt op 10.6 m (afstand t.o.v. bodem).",VITO,Deelgemeente,---,---,VMM
HIS_BWO_VITO_IOW50,397345,Kanaal Gent-Terneuzen Autrichehaven (NL) VITO,51.2643487123471,3.83805143708034,612951.270020961,717289.870818396,112956.920364513,217294.257189716,Belge Lambert 72,,289437042,DagGem,Day.Mean,EXT_QUAL/HIS_BWO_VITO_IOW50/EC20/Day.Mean,14042,aggmean,543,EC,EC20,EC20,Conductivity,microsiemens per centimeter,µS/cm,,,EXT_QUAL,380996,Kwaliteitsmetingen extern,,0,---,365,,P1D,2021-03-03T23:00:00.000Z,2025-10-06T23:00:00.000Z,,VITO,Closed,Bekken Gentse kanalen,Al lang gestopt,2026-02-24 00:00:00: Closed,iow@vito.be,1,-,"Dit zijn voorlopige, niet-gevalideerde data. De sensor hangt op 10.6 m (afstand t.o.v. bodem).",VITO,Deelgemeente,---,---,VMM
HIS_BWO_VITO_IOW50,397345,Kanaal Gent-Terneuzen Autrichehaven (NL) VITO,51.2643487123471,3.83805143708034,612951.270020961,717289.870818396,112956.920364513,217294.257189716,Belge Lambert 72,,289433042,Pv.15,15m.Cmd.Pv,EXT_QUAL/HIS_BWO_VITO_IOW50/EC20/15m.Cmd.Pv,6042,cmd,543,EC,EC20,EC20,Conductivity,microsiemens per centimeter,µS/cm,,,EXT_QUAL,380996,Kwaliteitsmetingen extern,,0,---,35040,,PT15M,2021-03-03T23:15:00.000Z,2025-10-07T07:30:00.000Z,,VITO,Closed,Bekken Gentse kanalen,Al lang gestopt,2026-02-24 00:00:00: Closed,iow@vito.be,1,-,"Dit zijn voorlopige, niet-gevalideerde data. De sensor hangt op 10.6 m (afstand t.o.v. bodem).",VITO,Deelgemeente,---,---,VMM
HIS_BWO_VITO_IOW50,397345,Kanaal Gent-Terneuzen Autrichehaven (NL) VITO,51.2643487123471,3.83805143708034,612951.270020961,717289.870818396,112956.920364513,217294.257189716,Belge Lambert 72,,289432042,HydJaarGem,HYear.Mean,EXT_QUAL/HIS_BWO_VITO_IOW50/EC20/HYear.Mean,14042,aggmean,543,EC,EC20,EC20,Conductivity,microsiemens per centimeter,µS/cm,,,EXT_QUAL,380996,Kwaliteitsmetingen extern,,0,---,1,,P1Y,2020-09-30T23:00:00.000Z,2025-09-30T22:59:59.999Z,,VITO,Closed,Bekken Gentse kanalen,Al lang gestopt,2026-02-24 00:00:00: Closed,iow@vito.be,1,-,"Dit zijn voorlopige, niet-gevalideerde data. De sensor hangt op 10.6 m (afstand t.o.v. bodem).",VITO,Deelgemeente,---,---,VMM
HIS_BWO_VITO_IOW50,397345,Kanaal Gent-Terneuzen Autrichehaven (NL) VITO,51.2643487123471,3.83805143708034,612951.270020961,717289.870818396,112956.920364513,217294.257189716,Belge Lambert 72,,284141042,Pv.15,15m.Cmd.Pv,EXT_QUAL/HIS_BWO_VITO_IOW50/EC/15m.Cmd.Pv,6042,cmd,543,EC,EC,EC,Conductivity,microsiemens per centimeter,µS/cm,,,EXT_QUAL,380996,Kwaliteitsmetingen extern,,0,---,35040,,PT15M,2020-11-01T23:00:00.000Z,2025-10-07T07:30:00.000Z,,VITO,Closed,Bekken Gentse kanalen,Al lang gestopt,2026-02-24 00:00:00: Closed,iow@vito.be,1,-,"Dit zijn voorlopige, niet-gevalideerde data. De sensor hangt op 10.6 m (afstand t.o.v. bodem).",VITO,Deelgemeente,---,---,VMM
HIS_BWO_VITO_IOW50,397345,Kanaal Gent-Terneuzen Autrichehaven (NL) VITO,51.2643487123471,3.83805143708034,612951.270020961,717289.870818396,112956.920364513,217294.257189716,Belge Lambert 72,,289434042,MaandGem,Month.Mean,EXT_QUAL/HIS_BWO_VITO_IOW50/EC20/Month.Mean,14042,aggmean,543,EC,EC20,EC20,Conductivity,microsiemens per centimeter,µS/cm,,,EXT_QUAL,380996,Kwaliteitsmetingen extern,,0,---,12,,P1M,2021-02-28T23:00:00.000Z,2025-10-31T22:59:59.999Z,,VITO,Closed,Bekken Gentse kanalen,Al lang gestopt,2026-02-24 00:00:00: Closed,iow@vito.be,1,-,"Dit zijn voorlopige, niet-gevalideerde data. De sensor hangt op 10.6 m (afstand t.o.v. bodem).",VITO,Deelgemeente,---,---,VMM
HIS_BWO_VITO_IOW50,397345,Kanaal Gent-Terneuzen Autrichehaven (NL) VITO,51.2643487123471,3.83805143708034,612951.270020961,717289.870818396,112956.920364513,217294.257189716,Belge Lambert 72,,289435042,P.15,15m.Cmd.P,EXT_QUAL/HIS_BWO_VITO_IOW50/EC20/15m.Cmd.P,6042,cmd,543,EC,EC20,EC20,Conductivity,microsiemens per centimeter,µS/cm,,,EXT_QUAL,380996,Kwaliteitsmetingen extern,,0,---,35040,,PT15M,2021-03-03T23:15:00.000Z,2025-10-07T07:30:00.000Z,,VITO,Closed,Bekken Gentse kanalen,Al lang gestopt,2026-02-24 00:00:00: Closed,iow@vito.be,1,-,"Dit zijn voorlopige, niet-gevalideerde data. De sensor hangt op 10.6 m (afstand t.o.v. bodem).",VITO,Deelgemeente,---,---,VMM
HIS_BWO_VITO_IOW50,397345,Kanaal Gent-Terneuzen Autrichehaven (NL) VITO,51.2643487123471,3.83805143708034,612951.270020961,717289.870818396,112956.920364513,217294.257189716,Belge Lambert 72,,284153042,Pv.15,15m.Cmd.Pv,EXT_QUAL/HIS_BWO_VITO_IOW50/Tw/15m.Cmd.Pv,6042,cmd,548,WT,Tw,Tw,Water Temperature,degree Celsius,°C,,,EXT_QUAL,380996,Kwaliteitsmetingen extern,,0,---,35040,,PT15M,2020-11-24T14:30:00.000Z,2025-10-07T07:30:00.000Z,,VITO,Closed,Bekken Gentse kanalen,Al lang gestopt,2026-02-24 00:00:00: Closed,iow@vito.be,1,-,"Dit zijn voorlopige, niet-gevalideerde data. De sensor hangt op 10.6 m (afstand t.o.v. bodem).",VITO,Deelgemeente,---,---,VMM
HIS_BWO_VITO_IOW48,397343,Kanaal Gent-Terneuzen Grootdok (BE) VITO,51.0880013723859,3.73367594508742,605500.848053247,697727.843781846,105504.108995559,197732.961625545,Belge Lambert 72,,284105042,Pv.15,15m.Cmd.Pv,EXT_QUAL/HIS_BWO_VITO_IOW48/EC/15m.Cmd.Pv,6042,cmd,543,EC,EC,EC,Conductivity,microsiemens per centimeter,µS/cm,,,EXT_QUAL,380996,Kwaliteitsmetingen extern,,0,---,35040,,PT15M,2020-11-20T23:00:00.000Z,2025-12-18T23:00:00.000Z,,VITO,Closed,Bekken Gentse kanalen,Al lang gestopt,2026-02-24 00:00:00: Closed,iow@vito.be,1,-,"Dit zijn voorlopige, niet-gevalideerde data. De sensor hangt op 10.6 m (afstand t.o.v. bodem).",VITO,Deelgemeente,---,---,VMM
HIS_BWO_VITO_IOW48,397343,Kanaal Gent-Terneuzen Grootdok (BE) VITO,51.0880013723859,3.73367594508742,605500.848053247,697727.843781846,105504.108995559,197732.961625545,Belge Lambert 72,,289424042,KalJaarGem,Year.Mean,EXT_QUAL/HIS_BWO_VITO_IOW48/EC20/Year.Mean,14042,aggmean,543,EC,EC20,EC20,Conductivity,microsiemens per centimeter,µS/cm,,,EXT_QUAL,380996,Kwaliteitsmetingen extern,,0,---,1,,P1Y,2020-12-31T23:00:00.000Z,2025-12-31T22:59:59.999Z,,VITO,Closed,Bekken Gentse kanalen,Al lang gestopt,2026-02-24 00:00:00: Closed,iow@vito.be,1,-,"Dit zijn voorlopige, niet-gevalideerde data. De sensor hangt op 10.6 m (afstand t.o.v. bodem).",VITO,Deelgemeente,---,---,VMM
